,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
940,1.4139645677118532e-09,1.9015266655359734e-09,2.5953721919397587e-09,1.5205675531841415e-09,0.0,10
941,0.00043454199761878065,0.0005007622889895273,0.0006097179665202799,0.00045359895513350114,0.0,5
942,2.0445019620112296e-08,2.7864187286531967e-08,3.5674336712744344e-08,2.2129597832276817e-08,0.0,9
943,0.005060302500588045,0.005656782610375567,0.006790692931066989,0.005017160087784229,0.0,4
944,1.2936535546638731e-05,1.648342128013732e-05,2.325215384484846e-05,1.1857292997537169e-05,0.0,7
945,2.7144069127223724e-06,3.387985637649578e-06,4.193506980846569e-06,2.9385712434822875e-06,0.0,7
946,2.158448069612723e-06,2.7511796667791324e-06,3.2871096653871013e-06,2.406572454633719e-06,0.0,7
947,1.120512003992727e-12,1.659617991500448e-12,2.058490939674163e-12,1.178937763995457e-12,0.0,13
948,3.914618964420404e-11,5.507706390936699e-11,7.115147116028776e-11,3.8879078567666153e-11,0.0,12
949,3.0204725953803217e-13,4.557327760563431e-13,5.030212058338324e-13,3.0048292671822737e-13,0.0,14
950,4.832013387651827e-16,7.268286060992377e-16,7.842217664516268e-16,5.036679833728676e-16,0.0,16
951,5.5301207884116695e-15,8.444275271416458e-15,9.333018988173182e-15,5.791038889862782e-15,0.0,15
952,3.565626246857301e-09,5.048418035147092e-09,7.195549767649387e-09,3.6389650845432447e-09,0.0,10
953,3.960701016468512e-09,5.604397974217453e-09,8.04318949013249e-09,4.006067729635933e-09,0.0,10
954,4.5826466998276476e-10,6.702055740574403e-10,8.775042189591069e-10,4.5481581706085164e-10,0.0,11
955,1.4274939088910045e-11,2.088374768958537e-11,2.7505040168737433e-11,1.5029494124135706e-11,0.0,12
956,1.7222920644738158e-09,2.3362369278403108e-09,3.239705921838047e-09,1.850470425405811e-09,0.0,10
957,1.3060743670381734e-08,1.7829374226547333e-08,2.2259636227488643e-08,1.437105318225786e-08,0.0,9
958,0.04038461538461539,0.041959591335861,0.05031361097003556,0.040376073923888145,0.0,3
